"state","called","final","winner","trump_percent","winner_num","dem_votes","rep_votes","other_votes","dem_percent","rep_percent","other_percent","dem_this_margin","stateid","EV","X","Y","State_num","Center_X","Center_Y","","","",""
"Oklahoma","R","Yes","Donald Trump","65.4","0","503,890","1,020,280","36,529","32.3%","65.4%","2.3%","-33.1%","OK","7","3","1","40","477","377","","","",""
"Oregon","D","Yes","Joe Biden","40.4","1","1,340,383","958,448","75,490","56.5%","40.4%","3.2%","16.1%","OR","7","1","4","41","97","134","","","",""
"Rhode Island","D","Yes","Joe Biden","38.6","1","307,486","199,922","10,349","59.4%","38.6%","2.0%","20.8%","RI","4","11","4","44","904","183","","","",""
"South Carolina","R","Yes","Donald Trump","55.1","0","1,091,541","1,385,103","36,685","43.4%","55.1%","1.5%","-11.7%","SC","9","8","2","45","783","394","","","",""
"South Dakota","R","Yes","Donald Trump","61.8","0","150,471","261,043","11,095","35.6%","61.8%","2.6%","-26.2%","SD","3","4","4","46","430","168","","","",""
"Tennessee","R","Yes","Donald Trump","60.7","0","1,143,711","1,852,475","57,665","37.5%","60.7%","1.9%","-23.2%","TN","11","6","2","47","670","360","","","",""
"Utah","R","Yes","Donald Trump","58.1","0","560,282","865,140","62,867","37.6%","58.1%","4.2%","-20.5%","UT","6","2","3","49","225","266","","","",""
"Vermont","D","Yes","Joe Biden","30.7","1","242,820","112,704","11,904","66.1%","30.7%","3.2%","35.4%","VT","3","10","6","50","873","134","","","",""
"Virginia","D","Yes","Joe Biden","44","1","2,413,568","1,962,430","84,526","54.1%","44.0%","1.9%","10.1%","VA","13","8","3","51","809","299","","","",""
"Washington","D","Yes","Joe Biden","38.8","1","2,369,612","1,584,651","133,368","58.0%","38.8%","3.3%","19.2%","WA","12","1","5","53","128","58","","","",""
"West Virginia","R","Yes","Donald Trump","68.6","0","235,984","545,382","13,286","29.7%","68.6%","1.7%","-38.9%","WV","5","7","3","54","765","284","","","",""
"Wyoming","R","Yes","Donald Trump","69.9","0","73,491","193,559","9,715","26.6%","69.9%","3.5%","-43.4%","WY","3","3","4","56","306","187","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
